UID        PID  PPID  C STIME TTY          TIME CMD
root      7364     1  0 Aug08 ?        00:01:08 cmahealthd -p 30 -s OK -t OK -i -l /var/log/hp-snmp-agents/cma.log
root      7391     1  0 Aug08 ?        00:00:42 cmastdeqd -p 30 -l /var/log/hp-snmp-agents/cma.log
root      7418     1  0 Aug08 ?        00:14:05 cmahostd -p 15 -s OK -l /var/log/hp-snmp-agents/cma.log
root      7441     1  0 Aug08 ?        00:00:20 cmathreshd -p 5 -s OK -l /var/log/hp-snmp-agents/cma.log
root      7486     1  0 Aug08 ?        00:07:18 cmasm2d -p 30 -l /var/log/hp-snmp-agents/cma.log
root      7507     1  0 Aug08 ?        00:00:07 cmasm2d -p 30 -l /var/log/hp-snmp-agents/cma.log
root      7524     1  0 Aug08 ?        00:10:51 cmaperfd -p 30 -s OK -l /var/log/hp-snmp-agents/cma.log
root      7570     1  0 Aug08 ?        00:00:03 cmapeerd -l /var/log/hp-snmp-agents/cma.log
root      7573 64973  0 Aug11 ?        00:06:25 /u40/apps/bsc/software/BSC/bsc/bin/plc_driver -t PDC_1800_06_19 -d 0 -o 1
root      7605     1  0 Aug08 ?        00:00:18 cmaeventd -p 15 -l /var/log/hp-snmp-agents/cma.log
root      7669     1  0 Aug08 ?        00:00:01 cmasasd -p 15 -s OK -l /var/log/hp-snmp-agents/cma.log
root      7704     1  0 Aug08 ?        00:00:40 cmaidad -p 15 -s OK -l /var/log/hp-snmp-agents/cma.log
root      7739     1  0 Aug08 ?        00:00:03 cmaided -p 15 -s OK -l /var/log/hp-snmp-agents/cma.log
root      7778     1  0 Aug08 ?        00:00:01 cmascsid -p 15 -s OK -l /var/log/hp-snmp-agents/cma.log
root      7892 64973  0 Aug11 ?        00:05:59 /u40/apps/bsc/software/BSC/bsc/bin/plc_driver -t PDC_1800_06_20 -d 0 -o 1
root      7958     1  0 Aug08 ?        00:00:19 /opt/hp/hpsmh/sbin/hpsmhd -DSSL -f /opt/hp/hpsmh/conf/smhpd.conf
root      7959  7958  0 Aug08 ?        00:00:00 /opt/hp/hpsmh/bin/rotatelogs /var/spool/opt/hp/hpsmh/logs/error_log 5M
root      7960  7958  0 Aug08 ?        00:00:00 /opt/hp/hpsmh/bin/rotatelogs /var/spool/opt/hp/hpsmh/logs/access_log 5M
hpsmh     7963  7958  0 Aug08 ?        00:00:00 /opt/hp/hpsmh/sbin/hpsmhd -DSSL -f /opt/hp/hpsmh/conf/smhpd.conf
hpsmh     7966  7958  0 Aug08 ?        00:00:00 /opt/hp/hpsmh/sbin/hpsmhd -DSSL -f /opt/hp/hpsmh/conf/smhpd.conf
hpsmh     7967  7958  0 Aug08 ?        00:00:00 /opt/hp/hpsmh/sbin/hpsmhd -DSSL -f /opt/hp/hpsmh/conf/smhpd.conf
hpsmh     7968  7958  0 Aug08 ?        00:00:00 /opt/hp/hpsmh/sbin/hpsmhd -DSSL -f /opt/hp/hpsmh/conf/smhpd.conf
hpsmh     7969  7958  0 Aug08 ?        00:00:00 /opt/hp/hpsmh/sbin/hpsmhd -DSSL -f /opt/hp/hpsmh/conf/smhpd.conf
hpsmh     7970  7958  0 Aug08 ?        00:00:00 /opt/hp/hpsmh/sbin/hpsmhd -DSSL -f /opt/hp/hpsmh/conf/smhpd.conf
root      7980     1  0 Aug08 ?        00:03:53 /usr/sbin/nscd
