USER       PID                  STARTED COMMAND
oracle    5702 Sat Aug  8 11:24:08 2015 /u01/apps/oracle/product/agent11g/perl/bin/perl /u01/apps/oracle/product/agent11g/bin/emwd.pl agent /u01/apps/oracle/product/agent11g/sysman/log/emagent.nohup
root      5703 Sat Aug  8 11:24:08 2015 /opt/hp/vcagent/bin/vcagentd
root      5719 Tue Aug 11 09:07:19 2015 /u40/apps/bsc/software/BSC/bsc/bin/plc_driver -t PDC_1800_06_11 -d 0 -o 1
root      5762 Sat Aug  8 11:24:08 2015 /sbin/auditd -s disable
root      5764 Sat Aug  8 11:24:08 2015 /sbin/audispd
root      5795 Sat Aug  8 11:24:08 2015 /sbin/haveged -w 1024 -v 1
root      5811 Sat Aug  8 11:24:08 2015 /sbin/multipathd
oracle    5818 Sat Aug  8 11:24:08 2015 /u01/apps/oracle/product/agent11g/bin/emagent
root      6006 Tue Aug 18 17:30:00 2015 /usr/sbin/snmpd -r -A -LF i /var/log/net-snmpd.log -p /var/run/snmpd.pid
root      6044 Tue Aug 11 09:07:24 2015 /u40/apps/bsc/software/BSC/bsc/bin/plc_driver -t PDC_1800_06_12 -d 0 -o 1
root      6172 Sat Aug  8 11:24:09 2015 /sbin/rpcbind
root      6190 Tue Aug 11 09:07:29 2015 /u40/apps/bsc/software/BSC/bsc/bin/plc_driver -t PDC_1800_06_13 -d 0 -o 1
root      6215 Sat Aug  8 11:24:10 2015 /usr/sbin/nsrexecd
root      6381 Sat Aug  8 11:24:11 2015 [hcp_watchdog]
root      6382 Sat Aug  8 11:24:11 2015 /usr/sbin/r1soft/bin/cdp -s -c /usr/sbin/r1soft/conf/agent_config
root      6388 Tue Aug 11 09:07:34 2015 /u40/apps/bsc/software/BSC/bsc/bin/plc_driver -t PDC_1800_06_14 -d 0 -o 1
root      6424 Sat Aug  8 11:24:12 2015 /usr/sbin/irqbalance
root      6434 Sat Aug  8 11:24:12 2015 ha_logd: read process          
root      6443 Sat Aug  8 11:24:12 2015 ha_logd: write process         
root      6459 Sat Aug  8 11:24:12 2015 /usr/sbin/mcelog --daemon --config-file /etc/mcelog/mcelog.conf
root      6567 Tue Aug 11 09:07:39 2015 /u40/apps/bsc/software/BSC/bsc/bin/plc_driver -t PDC_1800_06_15 -d 0 -o 1
root      6907 Tue Aug 11 09:07:44 2015 /u40/apps/bsc/software/BSC/bsc/bin/plc_driver -t PDC_1800_06_16 -d 0 -o 1
root      7209 Tue Aug 11 09:07:49 2015 /u40/apps/bsc/software/BSC/bsc/bin/plc_driver -t PDC_1800_06_17 -d 0 -o 1
root      7211 Sat Aug  8 11:24:13 2015 /usr/sbin/sshd -o PidFile=/var/run/sshd.init.pid
root      7240 Sat Aug  8 11:24:13 2015 /opt/quest/sbin/vasd -p /var/opt/quest/vas/vasd/.vasd.pid
daemon    7263 Sat Aug  8 11:24:14 2015 /opt/quest/sbin/vasd -p /var/opt/quest/vas/vasd/.vasd.pid
